,基金代码,拼音缩写,基金简称,基金类型,拼音全称
8586,010428,XYCLZXHHC,兴银策略智选混合C,混合型,XINGYINCELUEZHIXUANHUNHEC
8587,010429,ZORJHH,中欧睿见混合,混合型,ZHONGOURUIJIANHUNHE
8588,010430,ZSAYZQA,招商安阳债券A,债券型,ZHAOSHANGANYANGZHAIQUANA
8589,010431,ZSAYZQC,招商安阳债券C,债券型,ZHAOSHANGANYANGZHAIQUANC
8590,010432,GFZXQY300ETFLJC,广发中小企业300ETF联接C,联接基金,GUANGFAZHONGXIAOQIYE300ETFLIANJIEC
8591,010433,GFXXCYHHC,广发新兴产业混合C,混合型,GUANGFAXINXINGCHANYEHUNHEC
8592,010434,HTCXYLBJGP,红土创新医疗保健股票,股票型,HONGTUCHUANGXINYILIAOBAOJIANGUPIAO
8593,010435,FGSZZQZQA,富国双债增强债券A,债券型,FUGUOSHUANGZHAIZENGQIANGZHAIQUANA
8594,010436,FGSZZQZQC,富国双债增强债券C,债券型,FUGUOSHUANGZHAIZENGQIANGZHAIQUANC
8595,010437,JSJZLYXHHA,嘉实竞争力优选混合A,混合型,JIASHIJINGZHENGLIYOUXUANHUNHEA
8596,010438,JSJZLYXHHC,嘉实竞争力优选混合C,混合型,JIASHIJINGZHENGLIYOUXUANHUNHEC
8597,010439,HTFWJHYYNCYQHH,汇添富稳健汇盈一年持有期混合,混合型,HUITIANFUWENJIANHUIYINGYINIANCHIYOUQIHUNHE
8598,010440,NDAHCZ,诺德安鸿纯债,债券型,NUODEANHONGCHUNZHAI
8599,010442,DFHQSSNCYHHB,东方红启盛三年持有混合B,混合型,DONGFANGHONGQISHENGSANNIANCHIYOUHUNHEB
8600,010443,DFHQCSNCYHHB,东方红启程三年持有混合B,混合型,DONGFANGHONGQICHENGSANNIANCHIYOUHUNHEB
8601,010444,NFYSYNCYQHHA,南方誉尚一年持有期混合A,混合型,NANFANGYUSHANGYINIANCHIYOUQIHUNHEA
8602,010445,NFYSYNCYQHHC,南方誉尚一年持有期混合C,混合型,NANFANGYUSHANGYINIANCHIYOUQIHUNHEC
8603,010446,GTJFSGYDKHH,国泰金福三个月定开混合,混合型,GUOTAIJINFUSANGEYUEDINGKAIHUNHE
8604,010447,ZYWLCZHHA,中邮未来成长混合A,混合型,ZHONGYOUWEILAICHENGZHANGHUNHEA
8605,010448,ZYWLCZHHC,中邮未来成长混合C,混合型,ZHONGYOUWEILAICHENGZHANGHUNHEC
8606,010449,GFHYZQA,广发恒悦债券A,债券型,GUANGFAHENGYUEZHAIQUANA
8607,010450,GFHYZQC,广发恒悦债券C,债券型,GUANGFAHENGYUEZHAIQUANC
8608,010451,GFHYZQE,广发恒悦债券E,债券型,GUANGFAHENGYUEZHAIQUANE
8609,010452,GFRFJXHHA,广发瑞福精选混合A,混合型,GUANGFARUIFUJINGXUANHUNHEA
8610,010453,GFRFJXHHC,广发瑞福精选混合C,混合型,GUANGFARUIFUJINGXUANHUNHEC
8611,010454,JYNXZZYNCYHH,交银内需增长一年持有混合,混合型,JIAOYINNEIXUZENGZHANGYINIANCHIYOUHUNHE
8612,010455,BSCYJXHHA,博时产业精选混合A,混合型,BOSHICHANYEJINGXUANHUNHEA
8613,010456,BSCYJXHHC,博时产业精选混合C,混合型,BOSHICHANYEJINGXUANHUNHEC
8614,010457,GFRXHHA,广发睿鑫混合A,混合型,GUANGFARUIXINHUNHEA
8615,010458,GFRXHHC,广发睿鑫混合C,混合型,GUANGFARUIXINHUNHEC
8616,010459,XYQLZQ,鑫元乾利债券,债券型,XINYUANQIANLIZHAIQUAN
8617,010460,XYYJJXHH,兴业研究精选混合,混合型,XINGYEYANJIUJINGXUANHUNHE
8618,010461,MSJYKLHH,民生加银康利混合,混合型,MINSHENGJIAYINKANGLIHUNHE
8619,010462,ZXBCJR66GYDKZ,中信保诚嘉润66个月定开债,定开债券,ZHONGXINBAOCHENGJIARUN66GEYUEDINGKAIZHAI
8620,010463,PYCW66GYDKZA,鹏扬淳稳66个月定开债A,定开债券,PENGYANGCHUNWEN66GEYUEDINGKAIZHAIA
8621,010464,PYCW66GYDKZC,鹏扬淳稳66个月定开债C,定开债券,PENGYANGCHUNWEN66GEYUEDINGKAIZHAIC
8622,010465,PYJCHHA,鹏扬景创混合A,混合型,PENGYANGJINGCHUANGHUNHEA
8623,010466,PYJCHHC,鹏扬景创混合C,混合型,PENGYANGJINGCHUANGHUNHEC
8624,010467,HAJR05NJRZDKZ,华安锦溶0-5年金融债定开债,定开债券,HUAANJINRONG05NIANJINRONGZHAIDINGKAIZHAI
8625,010468,GFHB63GYDQKFZQ,国富恒博63个月定期开放债券,定开债券,GUOFUHENGBO63GEYUEDINGQIKAIFANGZHAIQUAN
8626,010469,YXYFJYGPA,圆信永丰聚优股票A,股票型,YUANXINYONGFENGJUYOUGUPIAOA
8627,010470,YXYFJYGPC,圆信永丰聚优股票C,股票型,YUANXINYONGFENGJUYOUGUPIAOC
8628,010471,YFDNNHSCZYNDKA,易方达年年恒实纯债一年定开A,定开债券,YIFANGDANIANNIANHENGSHICHUNZHAIYINIANDINGKAIA
8629,010472,YFDNNHSCZYNDKC,易方达年年恒实纯债一年定开C,定开债券,YIFANGDANIANNIANHENGSHICHUNZHAIYINIANDINGKAIC
8630,010473,HFAHZQA,华富安华债券A,债券型,HUAFUANHUAZHAIQUANA
8631,010474,HFAHZQC,华富安华债券C,债券型,HUAFUANHUAZHAIQUANC
8632,010475,STAXHBYNCYZ,上投安享回报一年持有债,债券型,SHANGTOUANXIANGHUIBAOYINIANCHIYOUZHAI
8633,010476,TPHJCZ,太平恒久纯债,债券型,TAIPINGHENGJIUCHUNZHAI
8634,010477,JSCCJTYLCZZQ,景顺长城景泰益利纯债债券,债券型,JINGSHUNCHANGCHENGJINGTAIYILICHUNZHAIZHAIQUAN
8635,010478,JSCCTXHBHH,景顺长城泰祥回报混合,混合型,JINGSHUNCHANGCHENGTAIXIANGHUIBAOHUNHE
8636,010479,PHFYZQ,鹏华丰颐债券,债券型,PENGHUAFENGYIZHAIQUAN
8637,010480,HTFWJSYYNCYHH,汇添富稳进双盈一年持有混合,混合型,HUITIANFUWENJINSHUANGYINGYINIANCHIYOUHUNHE
8638,010481,TFGZLCZJX2NHH,添富高质量成长精选2年混合,混合型,TIANFUGAOZHILIANGCHENGZHANGJINGXUAN2NIANHUNHE
