date,price,std,mid band,upper band,lower band,signals,cumsum,coordinates
2020-02-27,1.6356,0.09285019896245747,1.553145,1.738845397924915,1.367444602075085,0,0,
2020-02-28,1.5513,0.09083520358608672,1.5571499999999998,1.7388204071721733,1.3754795928278263,0,0,
2020-03-02,1.5701,0.07825699548350135,1.5675949999999998,1.7241089909670024,1.4110810090329973,0,0,
2020-03-03,1.5818,0.07159633094832883,1.5750249999999997,1.7182176618966574,1.431832338103342,0,0,
2020-03-04,1.5638,0.06551580343702927,1.5806549999999997,1.7116866068740582,1.4496233931259412,0,0,
2020-03-05,1.5719999999999998,0.06146371008891495,1.5850849999999999,1.7080124201778297,1.46215757982217,0,0,
2020-03-06,1.5601,0.05655701827173096,1.58915,1.702264036543462,1.476035963456538,0,0,
2020-03-09,1.4595,0.059503421175411304,1.587735,1.7067418423508225,1.4687281576491773,0,0,
2020-03-10,1.5167,0.059018025792299186,1.5881,1.7061360515845985,1.4700639484154017,0,0,
2020-03-11,1.4796,0.06329424082056818,1.5846749999999998,1.7112634816411363,1.4580865183588634,0,0,
2020-03-12,1.4331,0.07142374273527852,1.5790549999999999,1.721902485470557,1.4362075145294428,0,0,
2020-03-13,1.4217,0.07927098692725183,1.5731899999999996,1.7317319738545034,1.414648026145496,0,0,
2020-03-16,1.3275,0.09609125199790995,1.5596349999999997,1.7518175039958195,1.3674524960041798,0,0,
2020-03-17,1.3261,0.10803751005529016,1.5448599999999995,1.7609350201105798,1.3287849798894191,0,0,
2020-03-18,1.3066,0.11969119520886201,1.5305699999999995,1.7699523904177235,1.2911876095822756,0,0,
2020-03-19,1.3157,0.12670584209519412,1.5151899999999996,1.7686016841903878,1.2617783158096114,0,0,
2020-03-20,1.3386,0.12786221809349765,1.4992049999999995,1.7549294361869947,1.2434805638130042,0,0,
2020-03-23,1.275,0.12921284470532274,1.4786149999999993,1.737040689410645,1.2201893105893538,0,0,
2020-03-24,1.3005,0.1232192324145947,1.4582849999999994,1.704723464829189,1.2118465351708099,0,0,
2020-03-25,1.3492,0.11849914445616032,1.4442249999999992,1.6812232889123198,1.2072267110876787,0,0,
2020-03-26,1.3377,0.1117056427920221,1.4293299999999993,1.6527412855840435,1.205918714415955,0,0,
2020-03-27,1.3223,0.11027276039081658,1.4178799999999991,1.6384255207816323,1.197334479218366,0,0,
2020-03-30,1.2891,0.10772940320910274,1.4038299999999992,1.6192888064182047,1.1883711935817938,0,0,
2020-03-31,1.2909,0.10191730019455662,1.3892849999999992,1.5931196003891124,1.185450399610886,0,0,
2020-04-01,1.287,0.09556794482956829,1.3754449999999991,1.5665808896591358,1.1843091103408625,0,0,
2020-04-02,1.328,0.08403375559230615,1.3632449999999992,1.5313125111846115,1.1951774888153868,0,0,
2020-04-03,1.3151,0.070612571379622,1.3509949999999993,1.4922201427592432,1.2097698572407554,0,0,
2020-04-07,1.3604,0.06591886879458729,1.3460399999999992,1.4778777375891738,1.2142022624108246,0,0,
2020-04-08,1.3495,0.05233997767632344,1.3376799999999993,1.4423599553526463,1.2330000446473524,0,0,
2020-04-09,1.3539,0.04064076868056911,1.3313949999999992,1.4126765373611374,1.250113462638861,0,0,
2020-04-10,1.327,0.03284278179128018,1.326089999999999,1.3917755635825595,1.2604044364174387,0,0,
2020-04-13,1.3127,0.023993736024663537,1.320639999999999,1.3686274720493259,1.272652527950672,0,0,
2020-04-14,1.3519999999999999,0.024968048529442628,1.321864999999999,1.3718010970588843,1.2719289029411136,0,0,
2020-04-15,1.3668,0.026914152019849057,1.323899999999999,1.377728304039697,1.270071695960301,0,0,
2020-04-16,1.3925,0.030608555305582527,1.328194999999999,1.3894121106111639,1.266977889388834,0,0,
2020-04-17,1.4052,0.03492391881309021,1.332669999999999,1.4025178376261793,1.2628221623738185,0,0,
2020-04-20,1.4247,0.04054731965961618,1.3369749999999991,1.4180696393192316,1.2558803606807667,0,0,
2020-04-21,1.4078,0.04073735225098933,1.3436149999999991,1.4250897045019777,1.2621402954980205,0,0,
2020-04-22,1.4218,0.04295003951962047,1.349679999999999,1.4355800790392401,1.263779920960758,0,0,
2020-04-23,1.4164,0.04546539922090094,1.3530399999999991,1.443970798441801,1.2621092015581972,0,0,
2020-04-24,1.4012,0.046542230681846444,1.3562149999999993,1.4492994613636923,1.2631305386363063,0,0,
2020-04-27,1.4134,0.047496449728818675,1.3607699999999991,1.4557628994576366,1.2657771005423617,0,0,
2020-04-28,1.4402,0.047513608853841705,1.3683249999999991,1.4633522177076825,1.2732977822923157,0,0,
