,基金代码,拼音缩写,基金简称,基金类型,拼音全称
2369,003153,HFTXLHPZHHC,华富天鑫灵活配置混合C,混合型,HUAFUTIANXINLINGHUOPEIZHIHUNHEC
2370,003154,HBXHLHH,华宝新活力混合,混合型,HUABAOXINHUOLIHUNHE
2371,003155,ZJFSCZZQ,中加丰尚纯债债券,债券型,ZHONGJIAFENGSHANGCHUNZHAIZHAIQUAN
2372,003156,ZSZYCZA,招商招悦纯债A,债券型,ZHAOSHANGZHAOYUECHUNZHAIA
2373,003157,ZSZYCZC,招商招悦纯债C,债券型,ZHAOSHANGZHAOYUECHUNZHAIC
2374,003159,WJHR18GYDKZA,万家恒瑞18个月定开债A,定开债券,WANJIAHENGRUI18GEYUEDINGKAIZHAIA
2375,003160,WJHR18GYDKZC,万家恒瑞18个月定开债C,定开债券,WANJIAHENGRUI18GEYUEDINGKAIZHAIC
2376,003161,NFATHHA,南方安泰混合A,混合型,NANFANGANTAIHUNHEA
2377,003162,BSFNCZZQ,博时富宁纯债债券,债券型,BOSHIFUNINGCHUNZHAIZHAIQUAN
2378,003163,JYTY3GYDKZ,金鹰添益3个月定开债,定开债券,JINYINGTIANYI3GEYUEDINGKAIZHAI
2379,003164,JXXJTLHBB,建信现金添利货币B,货币型,JIANXINXIANJINTIANLIHUOBIB
2380,003165,PHHJHHAL,鹏华弘嘉混合A类,混合型,PENGHUAHONGJIAHUNHEALEI
2381,003166,PHHJHHCL,鹏华弘嘉混合C类,混合型,PENGHUAHONGJIAHUNHECLEI
2382,003167,QHKYDRZQA,前海开源鼎瑞债券A,债券型,QIANHAIKAIYUANDINGRUIZHAIQUANA
2383,003168,QHKYDRZQC,前海开源鼎瑞债券C,债券型,QIANHAIKAIYUANDINGRUIZHAIQUANC
2384,003169,CSSHHHA,长盛盛辉混合A,混合型,CHANGSHENGSHENGHUIHUNHEA
2385,003170,CSSHHHC,长盛盛辉混合C,混合型,CHANGSHENGSHENGHUIHUNHEC
2386,003171,XDAYHLCHB,信达澳银慧理财货币,货币型,XINDAAOYINHUILICAIHUOBI
2387,003173,MSJYXACZC,民生加银鑫安纯债C,债券型,MINSHENGJIAYINXINANCHUNZHAIC
2388,003174,QHLHTHCZA,前海联合添惠纯债A,债券型,QIANHAILIANHETIANHUICHUNZHAIA
2389,003175,HTBRDCLHH,华泰柏瑞多策略混合,混合型,HUATAIBAIRUIDUOCELUEHUNHE
2390,003176,DBJYZQA,德邦景颐债券A,债券型,DEBANGJINGYIZHAIQUANA
2391,003177,DBJYZQC,德邦景颐债券C,债券型,DEBANGJINGYIZHAIQUANC
